ordinal,rva,target_rva,section,kind,name
1,0x00EF6A0C,,.data,data,?$S122@?1??GetValue@?$DefaultModuleKey@$00@FXParticleSystem@@CAPBDXZ@4IA
2,0x00EF6A18,,.data,data,?$S126@?1??GetValue@?$DefaultModuleName@$00@FXParticleSystem@@CAPBDXZ@4IA
3,0x00EF6A3C,,.data,data,?$S136@?1??GetValue@?$DefaultModuleKey@$0A@@FXParticleSystem@@CAPBDXZ@4IA
4,0x00EF6A48,,.data,data,?$S140@?1??GetValue@?$DefaultModuleName@$0A@@FXParticleSystem@@CAPBDXZ@4IA
5,0x00EF6A6C,,.data,data,?$S150@?1??GetValue@?$DefaultModuleKey@$02@FXParticleSystem@@CAPBDXZ@4IA
6,0x00EF6A78,,.data,data,?$S154@?1??GetValue@?$DefaultModuleName@$02@FXParticleSystem@@CAPBDXZ@4IA
7,0x00EF6A9C,,.data,data,?$S164@?1??GetValue@?$DefaultModuleKey@$01@FXParticleSystem@@CAPBDXZ@4IA
8,0x00EF6AA8,,.data,data,?$S168@?1??GetValue@?$DefaultModuleName@$01@FXParticleSystem@@CAPBDXZ@4IA
9,0x00EF6ACC,,.data,data,?$S178@?1??GetValue@?$DefaultModuleKey@$06@FXParticleSystem@@CAPBDXZ@4IA
10,0x00EF6AD8,,.data,data,?$S182@?1??GetValue@?$DefaultModuleName@$06@FXParticleSystem@@CAPBDXZ@4IA
11,0x00EF6DC0,,.data,data,?$S26@?1??GetValue@?$DefaultModuleKey@$05@FXParticleSystem@@CAPBDXZ@4IA
12,0x00EF6964,,.data,data,?$S28@?1??GetValue@?$DefaultModuleKey@$05@FXParticleSystem@@CAPBDXZ@4IA
13,0x00EF6DC4,,.data,data,?$S30@?1??GetValue@?$DefaultModuleName@$05@FXParticleSystem@@CAPBDXZ@4IA
14,0x00EF6970,,.data,data,?$S32@?1??GetValue@?$DefaultModuleName@$05@FXParticleSystem@@CAPBDXZ@4IA
15,0x00016F86,0x0005F590,.text,code,??$?6D@@YAAAVDebug@@AAV0@ABV?$StringBase@D@@@Z
16,0x000259B9,0x0007FFF0,.text,code,??$?8D@@YA_NABV?$StringBase@D@@0@Z
17,0x0002A71B,0x000AA230,.text,code,??$?8D@@YA_NABV?$StringBase@D@@PBD@Z
18,0x000447DD,0x000607A0,.text,code,??$?8G@@YA_NABV?$StringBase@G@@0@Z
19,0x000418C6,0x000A3D50,.text,code,??$?9D@@YA_NABV?$StringBase@D@@0@Z
20,0x000153A7,0x000D0D30,.text,code,??$?9D@@YA_NABV?$StringBase@D@@PBD@Z
21,0x0087F570,,.text,code,??$?9D@@YA_NPBDABV?$StringBase@D@@@Z
22,0x0001EAA1,0x0009B530,.text,code,??$?9G@@YA_NABV?$StringBase@G@@0@Z
23,0x0000FAAB,0x00062ED0,.text,code,??$?MD@@YA_NABV?$StringBase@D@@0@Z
24,0x00005D94,0x0054EB50,.text,code,??$?MG@@YA_NABV?$StringBase@G@@0@Z
25,0x00035355,0x005DA6B0,.text,code,??0?$CategoryModuleClass@$00@FXParticleSystem@@IAE@_NPBD1@Z
26,0x00012EF4,0x005DA7D0,.text,code,??0?$CategoryModuleClass@$01@FXParticleSystem@@IAE@_NPBD1@Z
27,0x00008161,0x005DA770,.text,code,??0?$CategoryModuleClass@$02@FXParticleSystem@@IAE@_NPBD1@Z
28,0x0001A613,0x005DA970,.text,code,??0?$CategoryModuleClass@$03@FXParticleSystem@@IAE@_NPBD1@Z
29,0x00011EFF,0x005DAB10,.text,code,??0?$CategoryModuleClass@$04@FXParticleSystem@@IAE@_NPBD1@Z
30,0x0003F729,0x005D9950,.text,code,??0?$CategoryModuleClass@$05@FXParticleSystem@@IAE@_NPBD1@Z
