function,source,size,candidate_rva,aligned_pct,class,first_diff,hint,votes
?findPlayerTemplate@PlayerTemplateStore@@QBEPBVPlayerTemplate@@W4NameKeyType@@@Z,playertemplate.cpp,996,0x000E0F30,99,immediate-only,966,"1 literal(s): add eax,0xf0 vs eax,0x124",80
?doCollapseDoneStuff@StructureCollapseUpdate@@IAEXXZ,structurecollapseupdate.cpp,123,0x002A38A0,99,immediate-only,89,"1 literal(s): mov ecx,DWORD PTR [esi+0xc] vs ecx,DWORD PTR [esi+0x8]",8
?doToppleDoneStuff@StructureToppleUpdate@@IAEXXZ,structuretoppleupdate.cpp,382,0x002AF3D0,99,immediate-only,93,"2 literal(s): mov ecx,DWORD PTR [edi+0xc] vs ecx,DWORD PTR [edi+0x8]",13
?getFileInfo@Win32LocalFileSystem@@UBE_NABVAsciiString@@PAUFileInfo@@@Z,win32localfilesystem.cpp,105,0x009CDE50,99,immediate-only,18,"1 literal(s): add eax,0x4 vs eax,0x8",5
?calcRandomForce@@YAXMMMMAAUCoord3D@@@Z,slowdeathbehavior.cpp,312,0x00207F20,98,immediate-only,4,3 literal(s): push 0xcb vs 0x138,6
?getWidth@W3DDisplayString@@UAEHH@Z,w3ddisplaystring.cpp,99,0x006F53A0,98,immediate-only,26,"1 literal(s): lea esi,[ecx+0x4] vs esi,[ecx+0x8]",5
?setTimeOfDay@W3DShadowManager@@QAEXW4TimeOfDay@@@Z,w3dshadow.cpp,198,0x007B7B70,97,immediate-only,19,4 literal(s): fld DWORD PTR [eax+ecx*1+0x444] vs DWORD PTR [eax+ecx*1+0x4c4],6
?getModuleNameKey@BoneFXUpdate@@UBE?AW4NameKeyType@@XZ,bonefxupdate.cpp,104,0x00288E40,100,imm+reg,-1,0 imm / 0 reg: ,8
?getModuleNameKey@BridgeScaffoldBehavior@@UBE?AW4NameKeyType@@XZ,bridgescaffoldbehavior.cpp,104,0x001F5B00,100,imm+reg,-1,0 imm / 0 reg: ,8
?getSingleBitFromName@?$BitFlags@$0CG@@@SAHPBD@Z,damagefx.cpp,71,0x0037AA30,100,imm+reg,-1,0 imm / 0 reg: ,6
?getUnicodeString@Dict@@QBE?AVUnicodeString@@W4NameKeyType@@PA_N@Z,dict.cpp,96,0x00068600,100,imm+reg,-1,0 imm / 0 reg: ,6
